"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"10.105.15.32 (SECURED CAESAR2)","Edificio D","Lexmark MX722adhe","7464035023LTV","34","CAB241641531","43867","55000","4","5","2024-10-30T22:27:23.000+00:00","43","CAD220627156","150000","62","225000","Aceptar"
"10.105.15.33 (SECURED CAESAR2)","Edificio D","Lexmark MX722adhe","7464126024CL4","24","CAB251364E65","33699","55000","6","6","2025-10-29T14:44:22.000+00:00","7","CAB23363227D","150000","72","225000","Aceptar"
"10.105.15.47 (SECURED CAESAR2)","Edificio D","Lexmark CX725","75281450H6LX0","100","CAB24173266A","584","25000","5","1","2026-07-07T17:10:53.000+00:00","","","","","","Advertencia"
"10.105.15.50 (SECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TT7M","45","CAB2335234B9","8256","20000","5","6","2024-07-24T18:19:20.000+00:00","54","CAB231812527","60000","33","200000","Aceptar"
"10.105.15.61 (SECURED CAESAR2)","Edificio D","Lexmark MX722adhe","7464126024F14","12","CAB242884920","37308","55000","5","7","2025-06-30T22:56:31.000+00:00","25","CAD22339588E","150000","83","225000","Advertencia"
"10.105.21.12 (SECURED CAESAR2)","Edificio C","Lexmark MX622adhe","701823840HD6R","67","CAB242000C17","10236","25000","5","4","2025-10-08T15:26:52.000+00:00","86","CAB242717C9A","60000","67","200000","Aceptar"
"10.105.21.25 (SECURED CAESAR2)","Edificio C","Lexmark MX722adhe","7464126024DW7","63","CAB252802E1C","27107","55000","4","5","2026-08-10T15:28:33.000+00:00","61","CAB242814F61","150000","44","225000","Aceptar"
"10.105.21.70 (UNSECURED CAESAR1)","Edificio C","Lexmark MX511de","70157GHH1TT4Y","53","CAB25188291A","5912","20000","8","4","2026-01-23T16:00:56.000+00:00","65","CAB2418677FD","60000","58","200000","Aceptar"
"10.105.21.81 (SECURED CAESAR1)","Edificio C","Lexmark MX511de","70157GHH1TT0V","78","CAB253292C56","3720","20000","5","4","2026-06-15T20:42:21.000+00:00","41","CAB242146381","60000","59","200000","Aceptar"
"10.105.22.15 (SECURED CAESAR2)","Edificio C","Lexmark MX522adhe","701724540X8W6","17","CAB2435212C5","25437","25000","6","2","2026-01-27T14:41:51.000+00:00","12","CAD212676E95","60000","21","200000","Aceptar"
"10.105.22.18 (SECURED CAESAR2)","Edificio C","Lexmark MX722adhe","7464126024CK1","71","CAB241446208","11978","55000","6","2","2025-07-08T20:19:41.000+00:00","71","CAB241791D3E","150000","48","225000","Aceptar"
"10.105.22.20 (SECURED CAESAR2)","Edificio C","Lexmark MX522adhe","701723640WK27","54","CAB242826F54","10913","25000","8","5","2026-08-14T05:00:00.000+00:00","7","CAB24310411D","60000","100","200000","Aceptar"
"10.105.22.31 (UNSECURED CAESAR1)","Edificio C","Lexmark MX511de","70157GHH1TP1R","40","CAB250646328","6989","20000","7","13","2025-11-18T16:47:12.000+00:00","5","CAB222854FD8","60000","34","200000","Advertencia"
"10.105.22.36 (SECURED CAESAR2)","Edificio C","Lexmark MX522adhe","7017826102YPT","51","CAB2435212DC","9311","25000","5","7","2026-01-22T20:55:04.000+00:00","92","CAB2502772DF","60000","74","200000","Aceptar"
"10.105.22.41 (SECURED CAESAR1)","Edificio C","Lexmark MX511de","70157GHH1T7W6","81","CAB250646369","3400","20000","4","2","2025-09-30T16:35:35.000+00:00","31","CAS172860370","60000","83","200000","Aceptar"
